CGPA,Internships,Projects,Certifications,Aptitude_Score,Technical_Skill,Coding_Skill,Communication_Skill,Soft_Skill,Backlogs,Extracurricular_Score,Leadership_Score,LinkedIn_GitHub_Activity,Placement_Training,Gender,Branch,Placed,Package_LPA
7.9,2,1,1,87.1,4.3,4.7,7.6,5.4,1,3.9,3.7,5.7,No,Male,EEE,0,0.0
7.26,0,4,1,22.6,6.4,5.4,3.7,7.0,0,8.6,9.1,3.3,Yes,Female,CSE,0,0.0
8.05,0,3,0,89.7,5.8,6.6,7.4,5.8,0,6.8,1.6,7.2,Yes,Female,CSE,1,7.56
8.92,0,2,1,52.3,5.1,8.9,10.0,6.2,0,4.0,7.4,0.0,No,Female,CIVIL,0,0.0
7.17,1,1,0,62.4,6.1,2.6,8.0,5.6,2,7.8,5.4,4.6,Yes,Male,CSE,1,3.57
7.17,1,1,1,81.0,4.5,6.9,8.4,7.7,2,3.7,6.3,5.0,Yes,Female,CSM (AI/ML),1,5.2
8.98,2,2,3,28.2,8.7,8.1,6.3,7.0,0,2.6,6.7,0.6,Yes,Male,IT,1,16.82
8.17,2,2,3,57.9,5.1,3.4,7.8,4.2,0,3.8,6.2,6.1,Yes,Male,CSM (AI/ML),1,7.97
6.93,1,4,2,78.1,5.3,5.5,6.8,7.6,0,7.0,3.3,4.8,No,Male,EEE,1,7.79
7.94,2,1,0,52.1,2.4,6.3,9.4,7.1,2,7.8,4.4,6.5,No,Male,CSE,0,0.0
6.94,1,3,2,76.6,3.6,9.6,4.7,7.8,0,4.7,2.0,9.8,Yes,Male,CSE,1,11.63
6.93,1,1,1,72.8,5.3,9.9,8.2,5.6,2,1.8,4.4,5.9,No,Female,ECE,0,0.0
7.64,4,3,1,64.7,5.7,3.4,7.0,5.0,0,2.4,5.7,7.4,No,Male,EEE,1,9.66
5.49,1,3,2,71.6,7.4,5.2,5.0,6.2,0,3.4,6.3,8.4,No,Female,IT,1,6.58
5.68,0,3,2,82.7,3.8,6.2,6.0,6.5,0,2.9,5.8,6.3,Yes,Male,ECE,0,0.0
6.84,1,1,3,71.6,6.9,6.9,4.0,8.0,0,6.0,1.3,3.2,No,Female,CSE,0,0.0
6.39,1,6,0,76.9,7.2,6.2,1.5,7.2,0,9.4,3.8,1.4,Yes,Male,CSM (AI/ML),1,10.28
7.71,0,5,1,47.9,7.3,4.0,4.6,6.5,2,7.1,3.6,6.1,No,Male,CSE,0,0.0
6.49,0,1,0,71.3,7.9,3.9,5.8,6.1,2,3.2,2.2,4.3,No,Male,CSE,0,0.0
5.99,0,2,3,69.8,4.3,2.9,6.5,6.3,1,4.1,3.2,8.2,Yes,Male,ECE,0,0.0
8.87,2,3,1,80.0,7.1,2.0,4.4,5.7,1,4.5,5.0,4.1,Yes,Female,CSM (AI/ML),0,0.0
7.17,0,1,0,43.5,9.0,2.8,5.9,7.3,0,6.3,8.0,5.2,Yes,Female,CSM (AI/ML),0,0.0
7.47,0,3,0,79.2,8.4,8.0,6.8,4.3,0,8.6,3.0,2.5,No,Male,IT,1,11.5
5.98,0,2,1,47.9,9.2,7.1,5.5,6.3,0,4.6,2.6,4.4,Yes,Male,ECE,1,9.65
6.86,0,0,2,99.5,6.6,6.9,4.8,7.8,1,8.6,3.7,3.0,No,Male,CSE,1,7.3
7.51,1,1,0,47.8,5.3,5.4,5.3,4.7,1,9.7,5.7,3.2,No,Male,CSE,0,0.0
6.25,1,2,3,43.3,2.2,5.7,8.4,9.0,0,4.8,7.6,5.1,Yes,Female,MECH,0,0.0
7.78,0,1,1,57.4,4.2,5.3,3.8,4.8,1,4.7,4.8,3.8,No,Male,CIVIL,0,0.0
6.8,1,1,3,78.8,5.4,2.8,8.1,5.6,0,4.8,2.0,10.0,Yes,Male,EEE,0,0.0
7.11,0,3,1,67.7,5.6,7.0,8.4,7.7,3,5.6,2.4,7.1,Yes,Male,CSM (AI/ML),1,8.19
6.8,0,0,0,88.9,4.9,7.4,5.9,8.3,0,4.8,5.4,7.7,Yes,Male,MECH,0,0.0
9.25,1,2,3,57.2,6.7,3.6,7.1,6.8,3,7.3,7.1,4.9,No,Female,IT,0,0.0
7.39,0,2,2,54.2,6.5,3.6,5.2,6.8,1,2.4,8.8,5.4,No,Male,CSE,0,0.0
6.34,2,2,1,50.2,6.3,6.5,6.8,8.8,0,4.4,2.5,4.2,No,Male,CIVIL,1,10.19
8.22,1,2,2,53.6,7.5,6.5,9.7,4.4,0,6.2,5.3,10.0,Yes,Female,CIVIL,1,12.76
6.18,2,1,2,39.6,5.4,7.2,8.3,3.9,1,7.2,2.8,4.9,Yes,Male,CSM (AI/ML),0,0.0
7.61,0,3,3,51.6,8.0,8.5,5.6,3.6,0,9.9,3.1,3.8,Yes,Male,CSM (AI/ML),1,13.3
5.44,1,3,1,42.6,4.3,3.8,4.4,5.1,1,2.9,2.9,3.5,Yes,Male,ECE,0,0.0
6.07,2,5,1,73.5,5.7,5.6,6.0,5.3,0,4.2,4.3,6.0,No,Female,CSE,1,6.69
7.6,0,2,0,85.7,6.7,3.9,6.8,6.8,1,1.0,3.1,8.5,Yes,Female,CSE,0,0.0
8.14,1,0,2,65.5,3.1,4.0,7.5,7.7,0,3.3,10.0,7.7,Yes,Female,IT,0,0.0
7.57,1,1,4,51.2,5.4,5.0,6.2,7.6,1,2.0,4.0,3.5,Yes,Female,ECE,0,0.0
7.28,1,1,1,73.9,7.3,8.5,9.1,7.5,2,4.5,7.1,3.4,No,Male,ECE,1,9.84
